title,author,date,url,content
France player lost at sea in 'poorly controlled' session,Mike Henson,2024-09-12T14:07:59.280Z,https://www.bbc.com/sport/rugby-union/articles/cy8x8dy7e59o,"The disappearance of France Under-18 international Medhi Narjissi was partly caused by a poorly organised recovery session, an investigation by the country's rugby federation has concluded.
Narjissi, 17, was swept away while taking part in a session organised by the team's management in the sea off Cape Town in South Africa in August.
The FFR said that warning signs on the beach were ignored or missed and that the supervision of the session was ""poorly controlled"".
""The decision to organise a recovery session in the water on Dias Beach was taken without considering the dangerousness of the site, in particular rip currents, waves and rocks,"" the FFR said.
It says it is exploring the possibility of taking action against the officials in charge of the France Under-18 team at the time.
The FFR interviewed all the staff present at the session and some of the players involved.
Narjissi, who had recently signed for Top 14 champions Toulouse and is the son of former Morocco men's captain Jalil Narjissi, was taking part in a five-team tournament also involving South Africa, England, Ireland and Georgia.
Jalil Narjissi has criticised the staff who organised the session.
""It's not an accident, it was caused,"" he said.
""A bus accident, a plane crash, or if Medhi gets hurt and becomes paraplegic, we are all sorry, dejected. But not this, not something like that.
""They played with the lives of our children.""
The FFR says it has made all the information it has gathered available to Narjissi's parents and sent its report to the French Ministry of Sport.
"
Rahm keeps Ryder Cup hope alive by contesting fines,Peter Scrivener,2024-09-12T12:39:51.092Z,https://www.bbc.com/sport/golf/articles/cp3d3n9rwr9o,"Jon Rahm has improved his chances of playing in next year's Ryder Cup by appealing against the fines imposed on him by the DP World Tour.
The Spaniard either had to pay his fines or appeal against them to be allowed to play in the three DP World Tour events he needs to retain his membership of the European-based tour and therefore be eligible for the Ryder Cup.
Rahm, 29, said on Wednesday he did ""not intend to pay the fines"". 
But with Thursday's 12 noon deadline approaching for entries to the Spanish Open, which begins on 26 September, he appealed against the fines.
A DP World Tour spokesman told BBC Sport: ""Jon Rahm has a pending appeal against sanctions imposed on him and in accordance with the DP World Tour's regulations, he is eligible to participate in the Open de Espana.""
By contesting the fines, Rahm has followed his Ryder Cup and LIV team-mate Tyrrell Hatton, who was able to play in the British Masters earlier in September.
They were among several players fined for playing Saudi Arabian-funded LIV Golf tournaments that conflicted with DP World Tour events without requesting permission from the European-based circuit.
Players must play four DP World Tour events a year to retain their membership, with Rahm's participation in the Paris Olympics counting as one.
He has also entered next month's Dunhill Links Championship in Scotland and the Andalucia Masters at Sotogrande in Spain.
The DP World Tour season ends in November.
The Ryder Cup between Europe and the United States will be played at Bethpage Black in New York next September.
Europe's captain Luke Donald welcomed the news of the appeal by Rahm, who claimed three points in Europe's commanding 16½-11½ victory at Marco Simone last year.
""I'm very happy to hear he made that decision - I know he was sitting on the fence a little bit,"" Donald said after finishing his opening round at the Irish Open. 
""Very glad he's done that to allow him to play and create some time for things to hopefully figure themselves out,"" the Englishman added in reference to the talks between the PGA Tour, DP World Tour and Saudi Arabia's Public Investment Fund that funds LIV Golf.
Those discussions have been ongoing since the organisations signed a ""framework agreement"" in June last year.
""We're all being very patient right now,"" Donald added. 
""It's been frustrating for a lot of the players to see how slow everything's going. I've heard in the last couple of weeks there's been a little bit more progress.""
"
Australia chief dismisses fears over Lions series,Mike Henson,2024-09-12T09:08:50.903Z,https://www.bbc.com/sport/rugby-union/articles/cj0802032pro,"The Wallabies will offer serious competition to the British and Irish Lions next summer, says Rugby Australia chief executive Phil Waugh.
Australia suffered the heaviest defeat in their 125-year Test history on Saturday when they were swept aside 67-27 by Argentina.
It was their third defeat from four games in this year's Rugby Championship and follows a miserable pool-stage exit at last year's Rugby World Cup.
""You can see the progress is there,"" Waugh told the Sydney Morning Herald, external when asked about the team's trajectory before the Lions' arrival Down Under in June.
""It is not nearly where we need it to be, but if we keep progressing at the speed with which we have moved things in the last six months, then there is plenty of time.""
Waugh believes the headline-grabbing scoreline against the Pumas hid the improvements that have been made during new head coach Joe Schmidt's six months in charge.
Australia, who defeated Argentina the week before, led 20-3 in Santa Fe before capitulating in the second half.
They were also within two points of world champions South Africa at half-time of their August meeting before losing 30-12.
""It is a team that is, and I hate using the word 're-building', but it is a team that is re-setting, and it takes experiences in big moments to get better,"" Waugh added.
""Obviously the enormity of the scoreline in that second half [against Argentina] was disappointing. 
""But there is context that is important... we are not the most experienced team in world rugby, and we are building that experience.""
Australia will complete their Rugby Championship campaign with Tests against New Zealand on 21 and 28 September, before taking on England, Wales, Scotland and Ireland in the autumn.
Big-money code-crossing import Joseph Suaalii is set to be among the Australia squad that travels to the northern hemisphere.
The 21-year-old Sydney Roosters wing or centre has been recruited for the 15-man game in a deal reported to be worth more than $5m AUD (£2.6m).
Although he played both codes as a schoolboy, Suaalii is yet to feature in a senior game of rugby union.
""I am honestly not sure [if I will play], but I am going on that tour at the end of the year,"" Suaalii said.
""I know once I finish here I will be straight into it. Footy is footy. It's a footy ball at the end of the day. It's just about playing.""
"
'It was really quiet' - Smith wants more from GB fans,Jonathan Jurejko,2024-09-12T13:31:57.466Z,https://www.bbc.com/sport/tennis/articles/clygyz78xjjo,"British fans have been urged to act ""like a football crowd"" to push their Davis Cup team towards the knockout stage of the men's team competition.
Britain play Argentina in Manchester on Friday and Canada on Sunday, as they look to progress from the group stage.
On Wednesday, they won 2-1 in their opening tie against Finland.
But, in a round-robin format where the margins are tight, Britain could be left to rue not being able to clinch a clean sweep in the best-of-three contest.
After singles wins for Dan Evans and Billy Harris, Evans and Neal Skupski were narrowly beaten in the deciding doubles by Finnish pair Harri Heliovaara and Otto Virtanen.
The atmosphere among a crowd of just over 6,000 - in a 24,000-capacity arena where the upper tier was curtained off - was muted at times during the doubles.
""I urge those coming on Friday and Sunday to empty the tank,"" said British captain Leon Smith.
""You see it at the French Open, it's like a football crowd. It makes a difference at the end of a long day.
""It was really quiet out there and we have to make the most of that home advantage.""
During the doubles match Evans often attempted to whip up the crowd, which was understandably sparse given the midweek slot in school term time.
Smith said he had emphasised to his players how important starting with a 3-0 win would be, given they eventually scraped through last year on the back of a trio of 2-1 victories.
""We talked about it at 2-0. We can't fault [Dan and Neal's] efforts - they were bang on it. It was a shot here and there. But 3-0 would have been lovely,"" added Smith.
""It would have helped if the crowd could have played a bit more part in it, creating noise and energy the whole way.""
The size of Davis Cup crowds and atmospheres created continues to be a talking point.
The previous format of home and away ties, taking place across Friday, Saturday and Sunday, were largely partisan affairs played in front of strong crowds - albeit often in smaller venues.
The round-robin format of the last 16, introduced following a controversial revamp, has led to largely empty arenas when the host nation are not playing and in some midweek ties.
However, sales are said to be strong for Britain's final tie against Canada on Sunday, with the hope they could top the record 13,000 attendance set on the same day of last year's event at Manchester Arena.
"
McLaren ask Piastri to back Norris title bid,Andrew Benson,2024-09-12T05:08:10.985Z,https://www.bbc.com/sport/formula1/articles/c4gen1vegx7o,"McLaren are to prioritise Lando Norris over team-mate Oscar Piastri in their bid to win both Formula 1 world championships this year.
But team principal Andrea Stella said any actions taken to back Norris in the drivers' title chase would happen only within the team's principles of sportsmanship and fairness.
Stella told BBC Sport: ""The overall concept is we are incredibly determined to win, but we want to win in the right way.""
Norris heads into this weekend's Azerbaijan Grand Prix 62 points behind Red Bull's Max Verstappen in the drivers' championship with a maximum of 232 still available.
Piastri is in fourth place in the championship, 106 points behind Verstappen.
Stella, speaking in an exclusive interview, said: ""We [will] bias our support to Lando but we want to do it without too much compromise on our principles.
""Our principles are that the team interest always comes first. Sportsmanship for us is important in the overall way we go racing. And then we want to be fair to both drivers.""
Until now, McLaren had allowed Norris and Piastri to race each other without interference from the team.
The shift in policy towards finding ways to boost Norris' chances of beating Verstappen to the drivers' title comes after a series of meetings between McLaren bosses and their drivers following the Italian Grand Prix.
In Monza, Norris and Piastri qualified first and second but the Australian overtook the Briton on the first lap and the incident led to Ferrari's Charles Leclerc getting between the two McLarens. Leclerc went on to win the race, from Piastri and Norris. Verstappen finished an uncompetitive sixth.
Stella said: ""What we don't want to see any more is a situation like in Monza in which we enter a chicane P1/P2 and we exit P1/P3. Because that is a detriment to the team.
""The team interests comes first and these are the situations that above all we need to fix because eventually, as a matter of fact, the way we entered the race in Monza left the door open this situation.
""After Monza, three objectives: we need to make sure that anything that happens on track is not to the detriment of the team.
""Second objective, how do we win both championships, both drivers committed to help?
""But what we don't want to do is win in a reckless way.
""Those are the three topics and they define the way we go racing in Baku. This will be updated after Baku.""
Verstappen dominated the first part of the season, and has taken seven victories, when no other driver has more than two wins.
But the Dutchman has not won for six races, since the Spanish Grand Prix in June, and Red Bull admit they are lost in understanding why their car has fallen back in terms of performance compared to McLaren, Ferrari and Mercedes
Stella said both McLaren drivers had bought into the shift in philosophy.
""The conversations have been very collaborative,"" he said.
""Even when I said to Oscar: 'Would you be available to give up a victory?' He said: 'It's painful, but if it's the right thing to do now, I will do it'.
""Every driver is hard-wired to go for a victory. So I am always very impressed by the level of team spirit and maturity and collaboration that we found in this period.""
Stella refused to give details of the sort of choices that might be made in Norris' favour but said decisions would be made on an ad hoc basis as to whether any interference between the two drivers was ""worthwhile"".
And he emphasised that Norris was on board with the idea of not going all out in acting in his favour in every way.
""Lando wants to win because he deserved the victory on track,"" Stella said.
""It's OK to be occasionally supported by your team-mate, but you don't want to use, systematically, ways of adjusting the race just for the sake of the points when your team-mate is scoring in a way that he deserves. This is not the way McLaren want to win, or the way Lando wants to win.
""If I ask Lando, he would say: 'I am comfortable if in Abu Dhabi [at the end of the season] I miss a few points that I could have got with some actions, but if those actions were not right at the time, then, you know what? We keep strong as a team, the team is stable and cohesive, we will give it a go next year'.""
In the constructors' championship, McLaren are just eight points behind Red Bull and could take the lead this weekend. Ferrari are in third place, 31 adrift of McLaren.
Stella emphasised: ""We need to be careful that while we focus the conversation and the attention on to the drivers’, we don't lose sight on the fact that the constructors’ is at least a three-headed quest.""
Stella said this changed approach from McLaren was distinct from the so-called ""papaya rules"", a phrase used by Norris’ engineer Will Joseph over the team radio in Italy as a shorthand for the drivers' rules of engagement with each other on track.
Stella said: ""The 'papaya rules' only have to do with racing with no risks, no contact between the two McLarens and respectfully. That's it.
""It's just a quick way to remind our drivers, 'Guys, don't take too much risk in fighting each other'.""
"
Everton say 'work to be done' on Textor takeover bid,Shamoon Hafez,2024-09-12T13:40:30.363Z,https://www.bbc.com/sport/football/articles/cg797129ryvo,"American businessman John Textor is making ""progress"" in his bid to buy Everton but the club say there is ""some work to be done to complete the transaction"".
BBC Sport reported on 15 August that Crystal Palace co-owner Textor has been granted a period of exclusivity as he aims to buy Blues owner Farhad Moshiri's majority stake in the club.
Any deal is dependent on Textor selling his 45% stake in Palace, as Premier League rules prohibit individuals from owning more than one team.
In an interview with Sky Sports, external on Thursday, Textor compared owning Everton to becoming President of the USA.
The 58-year-old also said he has received two ""good bids"" for his Palace stake and has a contract with Moshiri to complete a deal for Everton by a deadline of 30 November.
Everton interim CEO Colin Chong said later on Thursday: ""The club is aware of the comments made by John Textor in relation to a potential purchase of the club.
""While positive conversations and progress continues to be made with Mr Textor to formalise any deal with him, there remains some work to be done to complete the transaction.
""Accordingly, the comments made by Mr Textor merely represent his personal view on club matters.
""Everyone at the club is staying focused on providing the best support possible to [manager] Sean [Dyche] and the squad as we head into the weekend's fixture.""
In an in depth interview with Sky, Textor was asked about the challenges of completing the deal, pressure from Everton supporters and the club's new stadium on Bramley-Moore Dock.
Textor became the latest party in the frame to take over the Toffees after talks broke down with both 777 Partners and the Friedkin Group this summer.
Through his company Eagle Football Holdings, Textor already has a number of stakes in other clubs, including Lyon in France, Brazilian side Botafogo and Belgian club Molenbeek.
""Nobody wakes up and thinks, 'I get to buy Everton',"" he said.
""But if you decide football is what you want in your life, and then somebody comes along and asks you if you want to become the owner of Everton, it's like someone asking you if you want to be President of the United States. Of course you do.
""Let's be frank, the failure of others has been the blessing that we get to walk in to - which means that anybody could outbid me at any time. I have a qualified period of exclusivity, but exclusives don't matter if Farhad gets an offer tomorrow that is supremely better than mine.
""I wouldn't force him to do a bad deal with me. The longer this takes, the greater the probability that there's some other smart guy out there that wakes up and see this as a great deal, as it is.
""Right now, this seems to be our opportunity and we hope to close.""
Manager Dyche's Everton lie bottom of the Premier League table without a point, having lost all three of their opening games including the last-gasp, 3-2 home defeat by Bournemouth before the international break.
They travel to Aston Villa on Saturday (kick-off 17:30 BST) as they look to kick start their season.
Asked about Textor's comments in his pre-match news conference, Dyche said: ""I don't know about the resolution, that is for upstairs, the bigger picture and financial side of the club.
""Regarding the comments, if you are a prospective owner and you are going to comment, you are asked certain questions and that is the way it goes - finding out about what you are prospectively going to buy or getting a feel.
""I haven't had the chance [to speak to him], I don't think the deal is to that position. If you are a prospective owner, you probably would want to build a relationship or certainly know the manager in any situation.
""He isn't the current owner but if he did take over then I am sure you would have that conversation but I think that is standard practice.""
"
How 'Slotball' varies from Klopp's rock 'n' roll,Emlyn Begley,2024-09-12T07:44:32.282Z,https://www.bbc.com/sport/football/articles/c4geyjml92eo,"Arne Slot has done something at Liverpool that Jurgen Klopp managed only once in eight full seasons in charge: win the opening three Premier League games without conceding.
The former Feyenoord boss had big boots to fill when he replaced Klopp, who won the Champions League and Premier League with the Reds.
Fans were not sure how the team would fare with a new manager, but the early signs are good.
""The most impressive thing is that Slot has come in - understated and cool - and they have slightly changed the way they play as it is not so frantic,"" says BBC pundit Chris Sutton.
""They were great to watch under Jurgen Klopp but there seems to be greater control.""
It appears like Liverpool might have shored up their leaky defence too.
BBC Sport looks at what is different and what has stayed the same.
Liverpool's only summer signing to join up with the team immediately was Juventus winger Federico Chiesa, who is yet to make his debut.
That means the team that Slot has put out was the one available to Klopp - but with a few fringe players gone, plus centre-back Joel Matip.
Fans bemoaned the failure to sign a defensive midfielder - specifically Real Sociedad's Martin Zubimendi - but Slot's fellow Dutchman Ryan Gravenberch has excelled in that role so far despite starting only 12 games last season.
""All of the club talk in the summer transfer window was about getting a defensive midfielder in, but in the opening games all of the players who have been put there have been so intelligent,"" former Blackburn and Celtic striker Sutton told BBC Radio 5 Live.
""They have shown that the number six position will not be too much of a problem because they have talent that is adaptable.""
Diogo Jota has also been preferred to Darwin Nunez up front this season. Last season Nunez started more games than the Portuguese. 
Formation-wise, Slot is going with a 4-2-3-1 compared to Klopp's 4-3-3.
The main difference is two more defensive midfielders - Gravenberch and Alexis Mac Allister - with Dominik Szoboszlai playing further forward than before.
The only real change Slot has made between games was Ibrahima Konate replacing Jarrell Quansah at half-time in the opener against Ipswich and keeping his place after that.
Liverpool have won their first three league games by an aggregate 7-0, including a 3-0 win at Manchester United.
The only time Klopp managed three opening wins and three clean sheets was in 2018-19, also by a combined 7-0. That season they started off with six wins and 20 games unbeaten - and finished second on 97 points.
Liverpool have had a more patient build-up this season under Slot, with more passing at the back.
More of Liverpool's touches have come in their own penalty area - 11% compared to 6% last season - with more touches just in front of the box too.
The number of touches in the opposition penalty area is slightly higher too.
Albeit with a limited data set of three games, Klopp's side last season - averaged over 38 games - have better figures than Slot's team over several metrics.
Klopp's side had the edge per game on possession (61% compared to Slot's 57%), shots (21 v 16), passes (593 v 545), passes forward (189 v 168), direct attacks (2.6 v 1) and high turnovers (10 v 9).
Slot's side have slightly better passing accuracy (88% compared to Klopp's 86%) and face fewer shots (8 v 11).
The shots faced, and the fact they have not conceded, also indicates they are dealing with some of the issues that meant they conceded 41 league goals last season. 
Goals scored are the same between both managers - 2.3 per game.
""The main difference appears to be their defensive solidity,"" said BBC Radio Merseyside's Ian Kennedy.
""Klopp's teams had no problems scoring goals and winning games, but had a tendency to concede too.
""This season the team are making sure they have players back in numbers if they lose possession and are not caught in transition.
""Liverpool still press, but maybe it's a slightly more controlled, more cautious approach.""
BBC Sport chief football writer Phil McNulty says ""the signs are good"".
""Slot is doing it his way without trying to be Klopp. He also has an air of authority,"" he said.
 ""While it is very much business as usual, there are also subtle differences.
""Liverpool look a bit more controlled under Slot as opposed to the thrilling, but occasionally chaotic, approach under Klopp - that did bring great success.""
Liverpool's star attacker of the Klopp era, Mohamed Salah, has started this season in great form with a goal in each game.
Before the win over United he told the Liverpool website:, external ""It's quite different to before. Now we are trying to control the ball all the time.
""Before it wasn't really the number one thing, because with Jurgen most of the time we tried to counter-attack or counter-press and try to win the ball as high as possible.
""We're still doing that, but also when you have the ball you have more time to keep the ball and just try to move the ball around.""
"
Going strong at 37 - the FA Cup record breaker who faced Man Utd in final,Neil Johnston,2024-09-12T07:15:39.507Z,https://www.bbc.com/sport/football/articles/c70jv09v1xpo,"""At the time I didn't understand how big an occasion it was,"" says Curtis Weston. ""Looking back now, it was a massive moment in my life even though it only lasted a few minutes.""
In 2004 Weston made history when he became the youngest player to appear in an FA Cup final aged 17 years and 119 days.
It is a record that remains to this day.
Millwall trailed Manchester United 3-0 at the Millennium Stadium in Cardiff when Weston came on for player-manager Dennis Wise in the 89th minute.
It was only the second senior appearance of his career.
Twenty years on and the veteran of 300-plus Football League appearances is getting ready to play for non-league Derbyshire side Mickleover against Anstey Nomads in the second qualifying round of the FA Cup on Saturday (15:00 BST).
""The second qualifying round is a long, long way from the final,"" midfielder Weston, 37, tells BBC Sport.
""But playing in the FA Cup still brings me an awful lot of pleasure."" 
London-born Weston grew up a Manchester United fan and joined Millwall at the age of 14.
Twenty years ago he had not even made his senior debut when they booked their first FA Cup final appearance by defeating First Division rivals Sunderland 1-0 in the semi-final at Old Trafford.
Thirteen days before the final, Weston came on as a second-half substitute in the final league match of the season, a 1-0 home win over Bradford City.
He remembers the elation he felt after discovering soon after that he had made the cup final squad and would be travelling to the showpiece with the likes of Tim Cahill, Neil Harris and Wise.
""Don't forget I was 17, a kid, and I was going to the FA Cup final,"" he says. ""It was a great achievement in itself to be named in the squad.
""It was only on the day of the final I was told I was going to be on the bench. I was surprised, shocked, so excited.""
Manchester United's team that day included a 19-year-old Cristiano Ronaldo, Roy Keane, Ruud van Nistelrooy, Paul Scholes and Ryan Giggs. 
""I spent as much time as possible warming up on the side of the pitch to soak up the atmosphere, getting close to the action because Ronaldo was doing all his tricks,"" recalls Weston.
United, the hot favourites, were in complete control thanks to goals by Ronaldo and Van Nistelrooy (2) when Weston's big moment arrived.
""Dennis shouted towards Ray Wilkins [his assistant] that he was coming off and the kid should come on. So Ray called me over and told me to get ready. 
""I was nervous even though there were only a few minutes left.""
As Wise came off he embraced Weston and told the youngster to ""go and enjoy yourself"".
""I will never forget it,"" says Weston. ""I sneaked into the squad at the end of Millwall's FA Cup journey having not played a minute of the other ties.""
Weston went on to spend a further two years at Millwall before following Wise to Swindon Town and then Leeds United.
In 2009, he won promotion with Gillingham at Wembley in the League Two play-off final. More recently, Weston captained Chesterfield against Chelsea in the FA Cup at Stamford Bridge.
Weston will celebrate his 38th birthday in January with no thoughts of retirement.
Around 12 years ago he changed his nutrition and made some lifestyle changes to prolong his career.
""Had I carried on doing what I was doing I probably would have been forced to retire years ago,"" adds Weston, who lives in Derby with wife Hannah and three children Tabitha, 17, Zachariah, 5, and Marcy, 2.
""I didn't always do everything I was supposed to do in terms of giving myself the best possible chance of playing at the highest level.
""If you give yourself a chance in terms of eating the right things, staying fit and being disciplined, not going out as much... I do the right things now.
""Those changes have enabled me to play this long and feel this good.""
It was only in the summer of 2023 that Weston dropped into part-time football when he signed for Buxton before joining Mickleover,, external who play in the seventh tier Northern Premier League Premier Division, in July.
""Every year I have a chat with Hannah [about whether to carry on playing]. I always say 'this could be my last season' and she just rolls her eyes,"" he laughs.
Weston combines playing with a full-time job in audit recruitment.
""This is my 21st season as a player. Until I lose that drive, I want to keep on playing.""
Weston has Mikael Silvestre's shirt from the 2004 final framed on a wall at his home in Derby, along with his own blue and white number 11 shirt from that day.
They serve as reminders of the day Weston made FA Cup history.
""It's funny because Dennis [Wise] contacted me recently on social media to see how I was doing,"" he adds.
""It's crazy how time flies. I know it's 20 years ago but I remember it all like it was yesterday.""
"
Bentancur charged by FA over Son racial slur,Author not found,2024-09-12T10:01:03.569Z,https://www.bbc.com/sport/football/articles/c5y3y4e6kn5o,"Tottenham midfielder Rodrigo Bentancur has been charged by the Football Association for using a racial slur about team-mate Son Heung-min.
Appearing on Uruguayan TV in June, Bentancur was asked by a presenter for a Tottenham shirt, before replying: ""Sonny's? It could be Sonny's cousin too as they all look the same.""
Bentancur later apologised on Instagram and said his comments were a ""very bad joke"".
The FA said the 27-year-old Uruguay international had been ""charged with an alleged breach of FA rule E3 for misconduct in relation to a media interview"".
""It's alleged that the Tottenham Hotspur midfielder acted in an improper manner and/or used abusive and/or insulting words and/or brought into disrepute,"" said a statement from English football's governing body.
The FA said this constituted an ""aggravated breach... as it included a reference, whether express or implied, to nationality and/or race and/or ethnic origin"".
In terms of a length of ban, FA laws say, external ""match-based sanctions of 6-12 games will be recommended to regulatory commissions for almost all acts of discrimination by individual participants"".
Bentancur has until Thursday, 19 September to respond to the charge.
At the time, anti-discrimination charity Kick it Out said it had received a ""significant number"" of complaints about Bentancur's racial slur, which highlighted ""a wider issue that heavily affects East Asian and wider communities"".
Son said Bentancur had apologised to him for using a racial slur and the pair have since joined up at Spurs for the Premier League season.
""I've spoken to Lolo,"" said Son in June. ""He made a mistake, he knows this and has apologised.
""Lolo would not mean to ever intentionally say something offensive. We are brothers and nothing has changed at all.
""We're past this, we're united, and we will be back together in pre-season to fight for our club as one.""
"
Alvarez rules out complacency against Berlanga,Author not found,2024-09-12T10:10:44.832Z,https://www.bbc.com/sport/boxing/articles/c5y5yrjggxpo,"Saul 'Canelo' Alvarez says he wants to show everybody he is still the best when he faces Edgar Berlanga in Las Vegas on Saturday.
Four-weight world champion Alvarez puts his WBO, WBA and WBC super-middleweight titles on the line.
The Mexican boasts a record of 61 wins, two draws and two losses.
""I always take my fights seriously and train 100% no matter who is in there. I always have the same mentality,"" Alvarez said.
""I will show everybody I'm still the best.""
Berlanga, born in New York and of Puerto Rican heritage, is yet to lose in 22 professional fights.
The 27-year-old's last trip to the ring in February ended in victory against Belfast fighter Padraig McCrory.
""There are a lot of doubters out there, people who don't believe in me, but Saturday night I'm going to make them believers,"" Berlanga said.
""There is fire in my blood and veins to go out there and perform. 
""This is the top of the mountain, it doesn't get any bigger, and now it's about me becoming great and putting my last name in the history books forever.""
Alvarez is aiming for his fifth successive victory following defeat against WBA light-heavyweight champion Dmitry Bivol in May 2022.
Saturday's bout takes place at the T-Mobile Arena on the weekend leading up to Mexican Independence Day.
""It is going to be very difficult for him,"" Alvarez said.
""I never overlook any fighter. He is young, a good fighter and is strong, but I've been in there with everybody and have so much experience. I'm strong and have a lot of talent - I'm just the best.""
Matchroom promoter Eddie Hearn, who promotes Berlanga, believes his fighter has an ""underrated IQ"" and is the ""most determined and most confident challenger"".
""Canelo wants a real fight at this stage of his career and he is going to get a real fight,"" Hearn added.
""It's a massive opportunity. This is like the lottery ticket of boxing. We're in Las Vegas where you roll dice, but we're not just looking to roll the dice - we want to collect the ticket as well.""
"
