2024-09-12 22:26:09 INFO luigi: logging configured via *.conf file
2024-09-12 22:26:09 INFO luigi: logging configured via *.conf file
2024-09-12 22:26:09 DEBUG luigi-interface: Checking if LoadData() is complete
2024-09-12 22:26:09 DEBUG luigi-interface: Checking if TransformSalesData() is complete
2024-09-12 22:26:09 DEBUG luigi-interface: Checking if ExtractNLP() is complete
2024-09-12 22:26:09 DEBUG luigi-interface: Checking if TransformElectronics() is complete
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: Starting new HTTP connection (1): localhost:8082
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:26:09 INFO luigi-interface: Informed scheduler that task   LoadData__99914b932b   has status   PENDING
2024-09-12 22:26:09 DEBUG luigi-interface: Checking if ExtractElectronicsData() is complete
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:26:09 INFO luigi-interface: Informed scheduler that task   TransformElectronics__99914b932b   has status   PENDING
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:26:09 INFO luigi-interface: Informed scheduler that task   ExtractElectronicsData__99914b932b   has status   PENDING
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:26:09 INFO luigi-interface: Informed scheduler that task   ExtractNLP__99914b932b   has status   PENDING
2024-09-12 22:26:09 DEBUG luigi-interface: Checking if ExtractSalesData() is complete
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:26:09 INFO luigi-interface: Informed scheduler that task   TransformSalesData__99914b932b   has status   PENDING
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:26:09 INFO luigi-interface: Informed scheduler that task   ExtractSalesData__99914b932b   has status   PENDING
2024-09-12 22:26:09 INFO luigi-interface: Done scheduling tasks
2024-09-12 22:26:09 INFO luigi-interface: Running Worker with 1 processes
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_worker HTTP/1.1" 200 18
2024-09-12 22:26:09 DEBUG luigi-interface: Asking scheduler for work...
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/get_work HTTP/1.1" 200 249
2024-09-12 22:26:09 DEBUG luigi-interface: Pending tasks: 6
2024-09-12 22:26:09 INFO luigi-interface: [pid 41503] Worker Worker(salt=1450442449, workers=1, host=pop-os, username=jeisa, pid=41503) running   ExtractNLP()
2024-09-12 22:26:09 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:10 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport HTTP/1.1" 200 61265
2024-09-12 22:26:10 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:10 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:10 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/rugby-union/articles/cy8x8dy7e59o HTTP/1.1" 200 44995
2024-09-12 22:26:10 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:11 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/golf/articles/cp3d3n9rwr9o HTTP/1.1" 200 47425
2024-09-12 22:26:11 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:11 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:11 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/rugby-union/articles/cj0802032pro HTTP/1.1" 200 47870
2024-09-12 22:26:11 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:11 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/tennis/articles/clygyz78xjjo HTTP/1.1" 200 51897
2024-09-12 22:26:12 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:12 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/formula1/articles/c4gen1vegx7o HTTP/1.1" 200 50619
2024-09-12 22:26:12 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:12 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:12 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cg797129ryvo HTTP/1.1" 200 51309
2024-09-12 22:26:12 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:13 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c4geyjml92eo HTTP/1.1" 200 53480
2024-09-12 22:26:13 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:13 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/golf/articles/cz73xp4wpvqo HTTP/1.1" 200 50549
2024-09-12 22:26:13 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:13 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:14 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c70jv09v1xpo HTTP/1.1" 200 52364
2024-09-12 22:26:14 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:14 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:14 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c5y3y4e6kn5o HTTP/1.1" 200 46330
2024-09-12 22:26:14 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:15 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/boxing/articles/c5y5yrjggxpo HTTP/1.1" 200 47075
2024-09-12 22:26:15 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:15 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:16 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/golf/articles/cgq2xdd5n34o HTTP/1.1" 200 48723
2024-09-12 22:26:16 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:16 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:17 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/ckgj52wz6rjo HTTP/1.1" 200 63224
2024-09-12 22:26:17 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:17 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:18 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:19 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:19 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/rugby-union/articles/cql3l6vywz6o HTTP/1.1" 200 48800
2024-09-12 22:26:20 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:21 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:22 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:23 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:24 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:25 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:26 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:27 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:28 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:29 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:30 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:31 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:32 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:33 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:34 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:35 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:36 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:37 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:38 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:39 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:40 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:41 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:42 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:43 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:43 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:43 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/czxlv57v707o HTTP/1.1" 200 48089
2024-09-12 22:26:43 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:44 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c0494zkxprpo HTTP/1.1" 200 47550
2024-09-12 22:26:44 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:44 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:44 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cq6rede0130o HTTP/1.1" 200 50360
2024-09-12 22:26:45 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:45 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/mixed-martial-arts/articles/c5yl14elqz5o HTTP/1.1" 200 45715
2024-09-12 22:26:45 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:45 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:46 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/boxing/articles/cr7r7vdvddko HTTP/1.1" 200 46256
2024-09-12 22:26:46 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:46 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cwy5ypg3dg3o HTTP/1.1" 200 49972
2024-09-12 22:26:46 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:46 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:46 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c4gvnjvgmm0o HTTP/1.1" 200 56947
2024-09-12 22:26:47 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:47 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/cricket/articles/cr5ng3z0j0qo HTTP/1.1" 200 47992
2024-09-12 22:26:47 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:47 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:47 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/ckg2r5prlpno HTTP/1.1" 200 55160
2024-09-12 22:26:47 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:48 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:48 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cr5ngjm272lo HTTP/1.1" 200 45722
2024-09-12 22:26:49 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:49 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/golf/articles/c9wjw1prkd4o HTTP/1.1" 200 44635
2024-09-12 22:26:49 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:49 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:49 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cz6xqgey07qo HTTP/1.1" 200 51526
2024-09-12 22:26:50 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:50 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c14z3ynmp4ro HTTP/1.1" 200 51607
2024-09-12 22:26:50 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:50 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:50 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/cricket/articles/cn7l0n8e8vjo HTTP/1.1" 200 52278
2024-09-12 22:26:51 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:51 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cjw3jenpznqo HTTP/1.1" 200 47092
2024-09-12 22:26:51 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:51 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:51 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/cricket/articles/cje2evxdy70o HTTP/1.1" 200 46917
2024-09-12 22:26:51 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:52 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/ckgwg1wjdvno HTTP/1.1" 200 44997
2024-09-12 22:26:52 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:52 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:53 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cd05385k722o HTTP/1.1" 200 58278
2024-09-12 22:26:53 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:53 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:54 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:54 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/articles/c4ngydm1x55o HTTP/1.1" 200 52593
2024-09-12 22:26:54 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:55 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/articles/cdd734dp7emo HTTP/1.1" 200 49646
2024-09-12 22:26:55 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:55 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:56 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:57 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:58 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:26:58 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/archery/articles/cp089q32yrqo HTTP/1.1" 200 48430
2024-09-12 22:26:59 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:26:59 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:00 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/american-football/articles/c5yk93jkj4xo HTTP/1.1" 200 51024
2024-09-12 22:27:00 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:00 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:01 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c134587zl01o HTTP/1.1" 200 45797
2024-09-12 22:27:01 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:01 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:01 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/cx2nd9zewx5o HTTP/1.1" 200 53414
2024-09-12 22:27:02 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:02 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/ce380jklj44o HTTP/1.1" 200 55493
2024-09-12 22:27:02 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:02 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:03 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/golf/articles/c80e8gjyrz1o HTTP/1.1" 200 47646
2024-09-12 22:27:03 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:03 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:04 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/football/articles/c15gewlnvj3o HTTP/1.1" 200 51571
2024-09-12 22:27:04 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:04 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:05 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/golf/articles/c7v52nq4y8do HTTP/1.1" 200 51010
2024-09-12 22:27:05 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:05 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/articles/cx2gkjzyke4o HTTP/1.1" 200 45217
2024-09-12 22:27:05 DEBUG urllib3.connectionpool: Starting new HTTPS connection (1): www.bbc.com:443
2024-09-12 22:27:05 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:06 DEBUG urllib3.connectionpool: https://www.bbc.com:443 "GET /sport/articles/cn33yxd1rz0o HTTP/1.1" 200 40840
2024-09-12 22:27:06 INFO luigi-interface: [pid 41503] Worker Worker(salt=1450442449, workers=1, host=pop-os, username=jeisa, pid=41503) done      ExtractNLP()
2024-09-12 22:27:06 DEBUG luigi-interface: 1 running tasks, waiting for next task to finish
2024-09-12 22:27:06 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:27:06 INFO luigi-interface: Informed scheduler that task   ExtractNLP__99914b932b   has status   DONE
2024-09-12 22:27:06 DEBUG luigi-interface: Asking scheduler for work...
2024-09-12 22:27:06 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/get_work HTTP/1.1" 200 273
2024-09-12 22:27:06 DEBUG luigi-interface: Pending tasks: 5
2024-09-12 22:27:06 INFO luigi-interface: [pid 41503] Worker Worker(salt=1450442449, workers=1, host=pop-os, username=jeisa, pid=41503) running   ExtractElectronicsData()
2024-09-12 22:27:06 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:07 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:08 INFO luigi-interface: [pid 41503] Worker Worker(salt=1450442449, workers=1, host=pop-os, username=jeisa, pid=41503) done      ExtractElectronicsData()
2024-09-12 22:27:08 DEBUG luigi-interface: 1 running tasks, waiting for next task to finish
2024-09-12 22:27:08 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/add_task HTTP/1.1" 200 18
2024-09-12 22:27:08 INFO luigi-interface: Informed scheduler that task   ExtractElectronicsData__99914b932b   has status   DONE
2024-09-12 22:27:08 DEBUG luigi-interface: Asking scheduler for work...
2024-09-12 22:27:08 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/get_work HTTP/1.1" 200 269
2024-09-12 22:27:08 DEBUG luigi-interface: Pending tasks: 4
2024-09-12 22:27:08 INFO luigi-interface: [pid 41503] Worker Worker(salt=1450442449, workers=1, host=pop-os, username=jeisa, pid=41503) running   TransformElectronics()
2024-09-12 22:27:08 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:09 DEBUG urllib3.connectionpool: http://localhost:8082 "POST /api/ping HTTP/1.1" 200 34
2024-09-12 22:27:10 INFO luigi-interface: [pid 41503] Worker Worker(salt=1450442449, workers=1, host=pop-os, username=jeisa, pid=41503) done      TransformElectronics()
2024-09-12 22:27:10 DEBUG luigi-interface: 1 running tasks, waiting for next task to finish
